VC,wet,dry
3300000559_____F14TC_100114348,T,T
3300000955_____JGI1027J12803_107555801,T,T
3300001305_____C688J14111_10000164,T,T
3300001347_____JGI20156J14371_10006530,F,T
3300001356_____JGI12269J14319_10003202,T,T
3300001472_____JGI24004J15324_10003009,F,T
3300001567_____Draft_10001390,F,T
3300001580_____Draft_10000465,F,T
3300001686_____C688J18823_10007250,F,T
3300002153_____JGI24540J26637_10000393,F,T
3300002167_____JGI24714J26587_10007694,F,T
3300002186_____JGI24539J26755_10000231,T,T
3300002186_____JGI24539J26755_10000560,F,T
3300002468_____BRHa_1002573,T,T
3300002485_____C687J35088_10000381,F,T
3300002772_____JGI25164J39214_1000233,T,T
3300002773_____JGI25152J39213_1000165,T,T
3300003203_____JGI25406J46586_10000406,F,T
3300003214_____JGI25165J46597_1000429,F,T
3300003395_____JGI25917J50250_1000613,T,T
3300003407_____JGI26536J50258_1000300,T,T
3300003415_____JGI26525J50270_1000291,F,T
3300003426_____JGI26534J51046_1000531,F,T
3300003426_____JGI26534J51046_1000807,F,T
3300003429_____JGI25914J50564_10000759,T,T
3300003621_____JGI26083J51738_10000496,F,T
3300003775_____Ga0055524_1000342,F,T
3300003790_____Ga0055528_1000535,F,T
3300004141_____Ga0066634_1000001,F,T
3300004807_____Ga0007809_10000951,F,T
3300005260_____Ga0074072_1003599,F,T
3300005289_____Ga0065704_10000606,T,T
3300005293_____Ga0065715_10001219,F,T
3300005294_____Ga0065705_10001971,F,T
3300005332_____Ga0066388_100003415,F,T
3300005334_____Ga0068869_100001766,T,T
3300005340_____Ga0070689_100001357,F,T
3300005341_____Ga0070691_10000040,F,T
3300005341_____Ga0070691_10000151,F,T
3300005354_____Ga0070675_100001528,F,T
3300005354_____Ga0070675_100001812,F,T
3300005365_____Ga0070688_100000110,F,T
3300005365_____Ga0070688_100000255,F,T
3300005405_____Ga0074193_1000740,T,T
3300005441_____Ga0070700_100000193,F,T
3300005511_____Ga0077121_10008099,F,T
3300005513_____Ga0077120_1007825,F,T
3300005515_____Ga0077122_10002022,F,T
3300005515_____Ga0077122_10007419,F,T
3300005526_____Ga0073909_10000045,T,T
3300005529_____Ga0070741_10004769,T,T
3300005564_____Ga0070664_100001795,F,T
3300005564_____Ga0070664_100002739,F,T
3300005569_____Ga0066705_10000011,F,T
3300005613_____Ga0074649_1002187,T,T
3300005613_____Ga0074649_1002392,F,T
3300005663_____Ga0073582_100387,F,T
3300005719_____Ga0068861_100000484,F,T
3300005843_____Ga0068860_100002219,F,T
3300005955_____Ga0073922_1000106,F,T
3300005988_____Ga0075160_10000237,F,T
3300005997_____Ga0066255_1001175,F,T
3300006045_____Ga0082212_10001610,F,T
3300006295_____Ga0099657_100894,F,T
3300006301_____Ga0099617_100235,T,T
3300006317_____Ga0099674_100646,T,T
3300006317_____Ga0099674_100838,F,T
3300006340_____Ga0068503_10201616,T,T
3300006844_____Ga0075428_100003161,F,T
3300006846_____Ga0075430_100018179,F,T
3300006852_____Ga0075433_10001354,T,T
3300006880_____Ga0075429_100004584,F,T
3300006904_____Ga0075424_100008347,F,T
3300006969_____Ga0075419_10000522,T,T
3300007109_____Ga0102633_103478,F,T
3300007123_____Ga0102684_101002,F,T
3300007162_____Ga0079300_10000018,F,T
3300007210_____Ga0103359_100470,T,T
3300007362_____Ga0104788_100459,T,T
3300007519_____Ga0105055_10029132,T,T
3300007522_____Ga0105053_10027149,T,T
3300007562_____Ga0102915_1000095,F,T
3300007714_____Ga0105661_1002275,F,T
3300007799_____Ga0105049_10004063,F,T
3300007988_____Ga0100402_1001554,F,T
3300008154_____Ga0114321_1001126,F,T
3300008161_____Ga0110913_1000464,T,T
3300008161_____Ga0110913_1000926,T,T
3300008418_____Ga0115222_101301,F,T
3300008496_____Ga0115078_100362,T,T
3300008607_____Ga0111136_100977,F,T
3300008635_____Ga0115679_101364,F,T
3300008636_____Ga0111420_100824,F,T
3300008715_____Ga0115609_1000359,F,T
3300008963_____Ga0102930_1000034,F,T
3300009068_____Ga0114973_10002259,F,T
3300009068_____Ga0114973_10002483,F,T
3300009086_____Ga0102812_10000702,F,T
3300009148_____Ga0105243_10000996,F,T
3300009151_____Ga0114962_10000735,F,T
3300009157_____Ga0105092_10000065,T,T
3300009159_____Ga0114978_10002843,F,T
3300009161_____Ga0114966_10000833,F,T
3300009161_____Ga0114966_10003793,T,T
3300009163_____Ga0114970_10000205,F,T
3300009163_____Ga0114970_10000754,F,T
3300009164_____Ga0114975_10000901,T,T
3300009164_____Ga0114975_10010636,T,T
3300009181_____Ga0114969_10000819,F,T
3300009185_____Ga0114971_10000370,F,T
3300009187_____Ga0114972_10000600,F,T
