DNA_viral_contig,A_dry_1,A_dry_2,A_dry_3,C_dry_1,C_dry_2,C_dry_3,C_wet_1,C_wet_2,C_wet_3,A_wet_1,A_wet_2,A_wet_3
VC_1,1875.67515,1403.571577,1263.64463,1213.540663,1547.495292,1743.005463,2669.981615,2452.735991,2610.236112,2876.987553,3388.046442,5583.211302
VC_2,34.13918099,13.98970588,8.154003521,27.28545141,24.81898289,26.96212663,3.794496209,6.589793679,6.032880247,16.31677109,38.33283503,10.91859559
VC_3,16.07473243,24.08436066,2.159653493,0.903346441,8.764676631,11.90189392,2.010005752,6.981439682,3.195713827,8.643256429,5.076380017,1.927918643
VC_4,9.644327687,6.362244,0,13.00749851,26.29263469,22.85042378,0,16.75456616,0,0,0,0
VC_5,8.451769785,3.2666217,0.908401765,3.419721512,0.921658005,2.503110216,0,3.670700039,2.688386901,0,0,0.40546428
VC_6,4.938512107,0,0,0,0,0,0,0,0,0,0,0
VC_7,3.79514323,4.373973909,0,3.412390613,2.06928503,1.123984921,0,1.648274002,1.508975872,0,0,0.910338933
VC_8,3.327420174,0,0,0,0,0,0,0,0,0,0,0
VC_9,2.638748542,0,5.672288512,2.372622115,0,0,0,4.584154384,0,0,0,0
VC_10,2.129698627,13.74529911,0,0,4.644834958,0,0,0,0,0,0,0
VC_11,2.052638113,3.785126412,0,0,2.238383671,0,0,0,0,4.414749082,0,1.969460731
VC_12,1.995575314,1.839950448,4.289714896,0,0,2.364070523,0,0,0,0,0,0
VC_13,1.945339922,0,0,0,0,0,0,0,0,0,0,0
VC_14,1.885759043,1.738698194,0,0,0,0,0,0,0,4.055830862,0,0
VC_15,1.759778858,0,0,0,0,0,0,0,0,0,0,0
VC_16,1.684807189,0,0,0,0,0,0,0,0,0,0,0
VC_17,1.564066154,2.884185026,0,0,0,1.852880553,0,0,4.975070389,0,2.634293857,0
VC_18,1.497273293,0,0,0,0,0,0,0,0,0,0,1.436600507
VC_19,1.361353284,1.255188199,2.48468025,1.224056349,0,3.225471018,1.361803286,18.92004038,10.82567447,5.855911105,9.171490819,5.224753095
VC_20,1.277208587,0,0,0,0,0,0,0,0,0,0,0
VC_21,1.275272934,0,0,0,0,0,0,0,0,0,2.147891026,0
VC_22,1.170420882,0,0,1.052380105,0,0,0,0,0,0,0,0
VC_23,1.074213946,0,0,0,0,0,0,0,0,2.310385353,0,0
VC_24,1.0345913,0,0,0,0,0,0,0,0,0,0,0
VC_25,1.019686053,0,0,0,0,0,0,0,0,0,0,0
VC_26,0.980477514,0,0,0.881593147,0,0,0.980801616,0,0,0,0,0
VC_27,0.976306345,0,0,0,0,0,0,0,0,0,0,0
