Treatment,Length,dens
dry,1,0
dry,2,0
dry,3,0
dry,4,0
dry,5,0
dry,6,0
dry,7,0
dry,8,0
dry,9,0
dry,10,0
dry,11,0
dry,12,0
dry,13,0
dry,14,0
dry,15,0
dry,16,0
dry,17,0
dry,18,0
dry,19,0
dry,20,0
dry,21,0
dry,22,0
dry,23,0
dry,24,0
dry,25,0
dry,26,0
dry,27,0
dry,28,0
dry,29,0
dry,30,0
dry,31,0
dry,32,0
dry,33,0
dry,34,0
dry,35,0
dry,36,0
dry,37,0
dry,38,0
dry,39,0
dry,40,0
dry,41,0
dry,42,0
dry,43,0
dry,44,0
dry,45,0
dry,46,0
dry,47,0
dry,48,0
dry,49,0
dry,50,0
dry,51,0
dry,52,0
dry,53,0
dry,54,0
dry,55,0
dry,56,0
dry,57,0
dry,58,0
dry,59,0
dry,60,0
dry,61,0
dry,62,0
dry,63,0
dry,64,0
dry,65,0
dry,66,0
dry,67,0
dry,68,0
dry,69,0
dry,70,0
dry,71,0
dry,72,0
dry,73,0
dry,74,0
dry,75,0
dry,76,0
dry,77,0
dry,78,0
dry,79,0
dry,80,0
dry,81,0
dry,82,0
dry,83,0
dry,84,0
dry,85,0
dry,86,0
dry,87,0
dry,88,0
dry,89,0
dry,90,0
dry,91,0
dry,92,0
dry,93,0
dry,94,0
dry,95,0
dry,96,0
dry,97,0
dry,98,0
dry,99,0
dry,100,0
dry,101,0
dry,102,0
dry,103,0
dry,104,0
dry,105,0
dry,106,0
dry,107,0
dry,108,0
dry,109,0
dry,110,0
dry,111,0
dry,112,0
dry,113,0
dry,114,0
dry,115,0
dry,116,0
dry,117,0
dry,118,0
dry,119,0
dry,120,0
dry,121,0
dry,122,0
dry,123,0
dry,124,0
dry,125,0
dry,126,0
dry,127,0
dry,128,0
dry,129,0
dry,130,0
dry,131,0
dry,132,0
dry,133,0
dry,134,0
dry,135,0
dry,136,0
dry,137,0
dry,138,0
dry,139,0
dry,140,0
dry,141,0
dry,142,0
dry,143,0
dry,144,0
dry,145,0
dry,146,0
dry,147,0
dry,148,0
dry,149,0
dry,150,0
dry,151,0
dry,152,0
dry,153,0
dry,154,0
dry,155,0
dry,156,0
dry,157,0
dry,158,0
dry,159,0
dry,160,0
dry,161,0
dry,162,0
dry,163,0
dry,164,0
dry,165,0
dry,166,0
dry,167,0
dry,168,0
dry,169,0
dry,170,0
dry,171,0
dry,172,0
dry,173,0
dry,174,0
dry,175,0
dry,176,0
dry,177,0
dry,178,0
dry,179,0
dry,180,0
dry,181,0
dry,182,0
dry,183,0
dry,184,0
dry,185,0
dry,186,0
dry,187,0
dry,188,0
dry,189,0
dry,190,0
dry,191,0
dry,192,0
dry,193,0
dry,194,0
dry,195,0
dry,196,0
dry,197,0
dry,198,0
dry,199,0
dry,200,0
dry,201,0
dry,202,0
dry,203,0
dry,204,0
dry,205,0
dry,206,0
dry,207,0
dry,208,0
dry,209,0
dry,210,0
dry,211,0
dry,212,0
dry,213,0
dry,214,0
dry,215,0
dry,216,0
dry,217,0
dry,218,0
dry,219,0
dry,220,0
dry,221,0
dry,222,0
dry,223,0
dry,224,0
dry,225,0
dry,226,0
dry,227,0
dry,228,0
dry,229,0
dry,230,0
dry,231,0
dry,232,0
dry,233,0
dry,234,0
dry,235,0
dry,236,0
dry,237,0
dry,238,0
dry,239,0
dry,240,0
dry,241,0
dry,242,0
dry,243,0
dry,244,0
dry,245,0
dry,246,0
dry,247,0
dry,248,0
dry,249,0
dry,250,0
dry,251,0
dry,252,0
dry,253,0
dry,254,0
dry,255,0
dry,256,0
dry,257,0
dry,258,0
dry,259,0
dry,260,0
dry,261,0
dry,262,0
dry,263,0
dry,264,0
dry,265,0
dry,266,0
dry,267,0
dry,268,0
dry,269,0
dry,270,0
dry,271,0
dry,272,0
dry,273,0
dry,274,0
dry,275,0
dry,276,0
dry,277,0
dry,278,0
dry,279,0
dry,280,0
dry,281,0
dry,282,0
dry,283,0
dry,284,0
dry,285,0
dry,286,0
dry,287,0
dry,288,0
dry,289,0
dry,290,0
dry,291,0
dry,292,0
dry,293,0
dry,294,0
dry,295,0
dry,296,0
dry,297,0
dry,298,0
dry,299,0
dry,300,0
dry,301,0
dry,302,0
dry,303,0
dry,304,0
dry,305,0
dry,306,0
dry,307,0
dry,308,0
dry,309,0
dry,310,0
dry,311,0
dry,312,0
dry,313,0
dry,314,0
dry,315,0
dry,316,0
dry,317,0
dry,318,0
dry,319,0
dry,320,0
dry,321,0
dry,322,0
dry,323,0
dry,324,0
dry,325,0
dry,326,0
dry,327,0
dry,328,0
dry,329,0
dry,330,0
dry,331,0
dry,332,0
dry,333,0
dry,334,0
dry,335,0
dry,336,0
dry,337,0
dry,338,0
dry,339,0
dry,340,0
dry,341,0
dry,342,0
dry,343,0
dry,344,0
dry,345,0
dry,346,0
dry,347,0
dry,348,0
dry,349,0
dry,350,0
dry,351,0
dry,352,0
dry,353,0
dry,354,0
dry,355,0
dry,356,0
dry,357,0
dry,358,0
dry,359,0
dry,360,0
dry,361,0
dry,362,0
dry,363,0
dry,364,0
dry,365,0
dry,366,0
dry,367,0
dry,368,0
dry,369,0
dry,370,0
dry,371,0
dry,372,0
dry,373,0
dry,374,0
dry,375,0
dry,376,0
dry,377,0
dry,378,0
dry,379,0
dry,380,0
dry,381,0
dry,382,0
dry,383,0
dry,384,0
dry,385,0
dry,386,0
dry,387,0
dry,388,0
dry,389,0
dry,390,0
dry,391,0
dry,392,0
dry,393,0
dry,394,0
dry,395,0
dry,396,0
dry,397,0
dry,398,0
dry,399,0
dry,400,0
dry,401,0
dry,402,0
dry,403,0
dry,404,0
dry,405,0
dry,406,0
dry,407,0
dry,408,0
dry,409,0
dry,410,0
dry,411,0
dry,412,0
dry,413,0
dry,414,0
dry,415,0
dry,416,0
dry,417,0
dry,418,0
dry,419,0
dry,420,0
dry,421,0
dry,422,0
dry,423,0
dry,424,0
dry,425,0
dry,426,0
dry,427,0
dry,428,0
dry,429,0
dry,430,0
dry,431,0
dry,432,0
dry,433,0
dry,434,0
dry,435,0
dry,436,0
dry,437,0
dry,438,0
dry,439,0
dry,440,0
dry,441,0
dry,442,0
dry,443,0
dry,444,0
dry,445,0
dry,446,0
dry,447,0
dry,448,0
dry,449,0
dry,450,0
dry,451,0
dry,452,0
dry,453,0
dry,454,0
dry,455,0
dry,456,0
dry,457,0
dry,458,0
dry,459,0
dry,460,0
dry,461,0
dry,462,0
dry,463,0
dry,464,0
dry,465,0
dry,466,0
dry,467,0
dry,468,0
dry,469,0
dry,470,0
dry,471,0
dry,472,0
dry,473,0
dry,474,0
dry,475,0
dry,476,0
dry,477,0
dry,478,0
dry,479,0
dry,480,0
dry,481,0
dry,482,0
dry,483,0
dry,484,0
dry,485,0
dry,486,0
dry,487,0
dry,488,0
dry,489,0
dry,490,0
dry,491,0
dry,492,0
dry,493,0
dry,494,0
dry,495,0
dry,496,0
dry,497,0
dry,498,0
dry,499,0
dry,500,0
dry,501,0
dry,502,0
dry,503,0
dry,504,0
dry,505,0
dry,506,0
dry,507,0
dry,508,0
dry,509,0
dry,510,0
dry,511,0
dry,512,0
dry,513,0
dry,514,0
dry,515,0
dry,516,0
dry,517,0
dry,518,0
dry,519,0
dry,520,0
dry,521,0
dry,522,0
dry,523,0
dry,524,0
dry,525,0
dry,526,0
dry,527,0
dry,528,0
dry,529,0
dry,530,0
dry,531,0
dry,532,0
dry,533,0
dry,534,0
dry,535,0
dry,536,0
dry,537,0
dry,538,0
dry,539,0
dry,540,0
dry,541,0
dry,542,0
dry,543,0
dry,544,0
dry,545,0
dry,546,0
dry,547,0
dry,548,0
dry,549,0
dry,550,0
dry,551,0
dry,552,0
dry,553,0
dry,554,0
dry,555,0
dry,556,0
dry,557,0
dry,558,0
