Percentage,Site,Part,Treatment
656,A,Coding,dry
776,A,Coding,dry
218,A,Coding,dry
557,A,Noncoding,dry
1460,A,Noncoding,dry
189,A,Noncoding,dry
908,C,Coding,dry
958,C,Coding,dry
586,C,Coding,dry
694,C,Noncoding,dry
562,C,Noncoding,dry
415,C,Noncoding,dry
156,A,Coding,wet
818,A,Coding,wet
2458,A,Coding,wet
128,A,Noncoding,wet
421,A,Noncoding,wet
1059,A,Noncoding,wet
1071,C,Coding,wet
563,C,Coding,wet
584,C,Coding,wet
608,C,Noncoding,wet
359,C,Noncoding,wet
444,C,Noncoding,wet
