id1,group,id3
GroEL_3300006810_____Ga0070754_10001495_19,KS_soil,KS_soil
GroEL_3300001346_____JGI20151J14362_10000028_29,KS_soil,KS_soil
GroEL_3300006752_____Ga0098048_1001092_16,KS_soil,KS_soil
GroEL_3300003789_____Ga0007835_1000217_3,KS_soil,KS_soil
GroEL_3300006793_____Ga0098055_1002736_4,KS_soil,KS_soil
GroEL_3300007231_____Ga0075469_10002609_8,KS_soil,KS_soil
GroEL_3300007538_____Ga0099851_1000232_10,KS_soil,KS_soil
GroEL_3300024495_____Ga0255164_1000016_49,KS_soil,KS_soil
GroEL_3300005909_____Ga0075112_1000608_15,KS_soil,KS_soil
GroEL_3300006317_____Ga0099674_100015_74,KS_soil,KS_soil
GroEL_3300001960_____GOS2230_1016472_5,KS_soil,KS_soil
GroEL_3300005917_____Ga0075115_10000203_7,KS_soil,KS_soil
GroEL_3300007100_____Ga0102544_100158_51,KS_soil,KS_soil
GroEL_3300008075_____Ga0114853_100001_36,KS_soil,KS_soil
GroEL_3300009000_____Ga0102960_1000004_60,KS_soil,KS_soil
GroEL_3300017952_____Ga0181583_10006658_6,KS_soil,KS_soil
GroEL_3300017986_____Ga0181569_10000497_6,KS_soil,KS_soil
GroEL_3300020261_____Ga0211534_1000060_3,KS_soil,KS_soil
GroEL_3300020316_____Ga0211487_1000010_51,KS_soil,KS_soil
GroEL_3300020366_____Ga0211489_10000316_9,KS_soil,KS_soil
GroEL_REF_650627002_____650627063_292,KS_soil,KS_soil
GroEL_3300001347_____JGI20156J14371_10001340_3,KS_soil,KS_soil
GroEL_3300001349_____JGI20160J14292_10006197_11,KS_soil,KS_soil
GroEL_3300001352_____JGI20157J14317_10000496_13,KS_soil,KS_soil
GroEL_3300002404_____B570J29591_1000009_26,KS_soil,KS_soil
GroEL_3300002408_____B570J29032_109959616_36,KS_soil,KS_soil
GroEL_3300003411_____JGI25911J50253_10001077_17,KS_soil,KS_soil
GroEL_3300005913_____Ga0075108_10000182_49,KS_soil,KS_soil
GroEL_3300005915_____Ga0075122_10001826_14,KS_soil,KS_soil
GroEL_3300006071_____Ga0007876_1000028_19,KS_soil,KS_soil
GroEL_3300006114_____Ga0007815_1000045_50,KS_soil,KS_soil
GroEL_3300006164_____Ga0075441_10001668_9,KS_soil,KS_soil
GroEL_3300006457_____Ga0100214_100316_20,KS_soil,KS_soil
GroEL_3300006545_____Ga0101078_100009_60,KS_soil,KS_soil
GroEL_3300006735_____Ga0098038_1002179_4,KS_soil,KS_soil
GroEL_3300006749_____Ga0098042_1003256_1,KS_soil,KS_soil
GroEL_3300006789_____Ga0098054_1000494_12,KS_soil,KS_soil
GroEL_3300006793_____Ga0098055_1005587_4,KS_soil,KS_soil
GroEL_3300006867_____Ga0075476_10000169_7,KS_soil,KS_soil
GroEL_3300006868_____Ga0075481_10000745_17,KS_soil,KS_soil
GroEL_3300007925_____Ga0113553_100216_29,KS_soil,KS_soil
GroEL_3300008271_____Ga0111085_100057_79,KS_soil,KS_soil
GroEL_3300008679_____Ga0115430_1000005_125,KS_soil,KS_soil
GroEL_3300009151_____Ga0114962_10002801_14,KS_soil,KS_soil
GroEL_3300009154_____Ga0114963_10000032_92,KS_soil,KS_soil
GroEL_3300009155_____Ga0114968_10000751_19,KS_soil,KS_soil
GroEL_3300010297_____Ga0129345_1002528_5,KS_soil,KS_soil
GroEL_3300011187_____Ga0136596_1000065_44,KS_soil,KS_soil
GroEL_3300012944_____Ga0137410_10000116_4,KS_soil,KS_soil
GroEL_3300013006_____Ga0164294_10000113_23,KS_soil,KS_soil
GroEL_3300013093_____Ga0164296_1000404_64,KS_soil,KS_soil
GroEL_3300013126_____Ga0172367_10001363_34,KS_soil,KS_soil
GroEL_3300013126_____Ga0172367_10002416_6,KS_soil,KS_soil
GroEL_3300017963_____Ga0180437_10001517_19,KS_soil,KS_soil
GroEL_3300020387_____Ga0211590_10000833_6,KS_soil,KS_soil
GroEL_REF_2706795120_____2706857223_382,KS_soil,KS_soil
GroEL_2065487001_____bke_il_soap_contig_6924_5,KS_soil,KS_soil
GroEL_3300000115_____DelMOSum2011_c10000458_30,KS_soil,KS_soil
GroEL_3300000115_____DelMOSum2011_c10001702_1,KS_soil,KS_soil
GroEL_3300000116_____DelMOSpr2010_c10001690_18,KS_soil,KS_soil
GroEL_3300000117_____DelMOWin2010_c10007090_7,KS_soil,KS_soil
GroEL_3300000736_____JGI12547J11936_1000001_48,KS_soil,KS_soil
GroEL_3300000970_____BBAY66_10000312_34,KS_soil,KS_soil
GroEL_3300001344_____JGI20152J14361_10003737_4,KS_soil,KS_soil
GroEL_3300001346_____JGI20151J14362_10000376_30,KS_soil,KS_soil
GroEL_3300001346_____JGI20151J14362_10002844_5,KS_soil,KS_soil
GroEL_3300001347_____JGI20156J14371_10002753_14,KS_soil,KS_soil
GroEL_3300001349_____JGI20160J14292_10000466_7,KS_soil,KS_soil
GroEL_3300001349_____JGI20160J14292_10001031_8,KS_soil,KS_soil
GroEL_3300001349_____JGI20160J14292_10003641_9,KS_soil,KS_soil
GroEL_3300001354_____JGI20155J14468_10001080_16,KS_soil,KS_soil
GroEL_3300001354_____JGI20155J14468_10001445_5,KS_soil,KS_soil
GroEL_3300001354_____JGI20155J14468_10007571_6,KS_soil,KS_soil
GroEL_3300001355_____JGI20158J14315_10000192_1,KS_soil,KS_soil
GroEL_3300001355_____JGI20158J14315_10001089_13,KS_soil,KS_soil
GroEL_3300001546_____JGI12659J15293_10000001_124,KS_soil,KS_soil
GroEL_3300001580_____Draft_10007066_4,KS_soil,KS_soil
GroEL_3300001605_____Draft_10000030_203,KS_soil,KS_soil
GroEL_3300001687_____WOR8_10000001_330,KS_soil,KS_soil
GroEL_3300001784_____JGI20225J20221_1000047_371,KS_soil,KS_soil
GroEL_3300002092_____JGI24218J26658_1000014_103,KS_soil,KS_soil
GroEL_3300002242_____KVWGV2_10006830_73,KS_soil,KS_soil
GroEL_3300002307_____JGI24890J29729_1000023_151,KS_soil,KS_soil
GroEL_3300002488_____JGI25128J35275_1001769_7,KS_soil,KS_soil
GroEL_3300002514_____JGI25133J35611_10006201_7,KS_soil,KS_soil
GroEL_3300002518_____JGI25134J35505_10000157_19,KS_soil,KS_soil
GroEL_3300002546_____JGI25318J35512_1000112_6,KS_soil,KS_soil
GroEL_3300002702_____draft_10479153_6,KS_soil,KS_soil
GroEL_3300002835_____B570J40625_100000882_54,KS_soil,KS_soil
GroEL_3300002933_____G310J44882_10000131_4,KS_soil,KS_soil
GroEL_3300003277_____JGI25908J49247_10001276_1,KS_soil,KS_soil
GroEL_3300003346_____JGI26081J50195_1000183_21,KS_soil,KS_soil
GroEL_3300003375_____JGI26470J50227_1000278_29,KS_soil,KS_soil
GroEL_3300003406_____JGI26538J50259_1000841_26,KS_soil,KS_soil
GroEL_3300003407_____JGI26536J50258_1000300_55,KS_soil,KS_soil
GroEL_3300003496_____JGI26241J51128_1002394_14,KS_soil,KS_soil
GroEL_3300003498_____JGI26239J51126_1001987_2,KS_soil,KS_soil
GroEL_3300004686_____Ga0065173_1000025_1,KS_soil,KS_soil
GroEL_3300005515_____Ga0077122_10002022_1,KS_soil,KS_soil
GroEL_3300005662_____Ga0078894_10000183_20,KS_soil,KS_soil
GroEL_3300005662_____Ga0078894_10000431_5,KS_soil,KS_soil
GroEL_3300005662_____Ga0078894_10000719_21,KS_soil,KS_soil
GroEL_3300005662_____Ga0078894_10001729_22,KS_soil,KS_soil
GroEL_3300005662_____Ga0078894_10004098_6,KS_soil,KS_soil
GroEL_3300005662_____Ga0078894_10004754_11,KS_soil,KS_soil
GroEL_3300005683_____Ga0074432_100782_34,KS_soil,KS_soil
GroEL_3300005805_____Ga0079957_1003669_2,KS_soil,KS_soil
