id,taxa
OutGroup_APO57079.1/1-256,Alphaproteobacteria
NssRNA_unclassifiedBunyavirales_QDW81309.1/49-1773,Unclassified Bunyavirales
NssRNA_Paramyxoviridae_AWD84835.1/340-466,Paramyxoviridae
NssRNA_Peribunyaviridae_AGM34029.1/1-1532,Peribunyaviridae
NssRNA_Peribunyaviridae_AWU66345.1/1-306,Peribunyaviridae
NssRNA_unclassifiedMononegavirales_ALO50156.1/4-125,Unclassified Mononegavirales
NssRNA_Mymonaviridae_BBI93117.1/316-441,Mymonaviridae
NssRNA_Arenaviridae_AAS79789.1/1-715,Arenaviridae
NssRNA_Arenaviridae_BAL03414.1/1-1507,Arenaviridae
NssRNA_Hantaviridae_ACT68340.1/1-1448,Hantaviridae
NssRNA_Nairoviridae_ARB51468.1/1-477,Nairoviridae
