id,Dry,Wet
NssRNA_Arenaviridae_AAS79789.1/1-715,1,0
NssRNA_Arenaviridae_BAL03414.1/1-1507,2.944444444,1.833333333
NssRNA_Hantaviridae_ACT68340.1/1-1448,44.11111111,23.05555556
NssRNA_Mymonaviridae_BBI93117.1/316-441,0.5,0
NssRNA_Nairoviridae_ARB51468.1/1-477,65.30951512,57.87777778
NssRNA_Paramyxoviridae_AWD84835.1/340-466,42.58333333,0
NssRNA_Peribunyaviridae_AGM34029.1/1-1532,12,13.16666667
NssRNA_Peribunyaviridae_AWU66345.1/1-306,13.5,0
NssRNA_unclassifiedBunyavirales_QDW81309.1/49-1773,0,0.333333333
NssRNA_unclassifiedMononegavirales_ALO50156.1/4-125,0.5,0
OutGroup_APO57079.1/1-256,0,0
