taxa	A_dry_1	A_dry_2	A_dry_3	C_dry_1	C_dry_2	C_dry_3	A_wet_1	A_wet_2	A_wet_3	C_wet_1	C_wet_2	C_wet_3
Reoviridae	8422	6360	3825	10666	10463	5618	9	13235	17955	9341	5047	9230
Picornavirales	5194	1799	1323	2581	6196	1255	6	1398	6652	1683	2487	1116
Bunyavirales	4936	126	37	734	224	1250	18	54	656	761	54	483
Closteroviridae	1476	2065	604	1760	2039	1738	2	784	676	858	519	491
Bromoviridae	1404	41	4	585	866	1025	1	459	1287	515	764	59
Leviviridae	58	103	314	96	28	54	339	323	225	1257	951	384
Negarnaviricota	45	47	3	111	855	17	28	30	137	15	42	37
Narnaviridae	19	35	2	11	11	3	1	5	24	2	7	1
Unclassified	17	33	52	16	4	109	0	47	26	6	80	0
Nidovirales	9	7	6	10	13	7	2	8	4	7	0	2
Mononegavirales	2	71	4	444	0	100	0	0	0	0	0	0
Tymovirales	2	2	0	0	3	1	0	0	0	2	0	0
Flaviviridae	1	10	0	6	10	9	2	1	0	3	1	2
Tombusviridae	1	1	0	0	0	0	0	0	0	0	0	0
Arenaviridae	0	1	1	0	0	0	0	0	0	0	0	0
Botourmiaviridae	0	1	0	0	0	0	0	0	0	0	0	0
Hypoviridae	0	1054	323	0	0	0	0	175	1370	0	0	0
Partitiviridae	0	0	0	1	0	0	0	0	0	1	0	0
Potyviridae	0	0	0	0	2	2	0	0	0	0	0	0
Solemoviridae	0	0	0	1	0	0	0	0	0	0	0	0
Strandviruses	0	0	0	0	1	0	0	0	0	2	0	0
Virgaviridae	0	2	0	2	0	0	0	0	1	2	0	0
