taxa	A_dry_1	A_dry_2	A_dry_3	C_dry_1	C_dry_2	C_dry_3	C_wet_1	C_wet_2	C_wet_3	A_wet_1	A_wet_2	A_wet_3
Partitiviridae	0	0	0	2	0	0	2	0	0	0	0	0
Reoviridae	99.46735395	71.05673759	107.8205882	104.5309168	129.0749747	106.0677083	80.40165289	87.06382979	267.4166667	95.32312925	196.8084112	101.8934765
Arenaviridae	1	8.833333333	3	7.5	0	3.333333333	0	0	11	0	0	0
Hantaviridae	7.666666667	0	6	3	243	5	6	65	43	0	12.66666667	11.66666667
Mymonaviridae	3	0	0	0	0	0	0	0	0	0	0	0
Nairoviridae	186.6956522	11.6	14	53.36363636	26.42857143	99.76923077	67.3	28.66666667	112.1666667	42.33333333	41	55.8
Paramyxoviridae	0	20	9	173.5	0	53	0	0	0	0	0	0
Peribunyaviridae	33	4	32	11.33333333	65.66666667	7	5	0	0	53	6	15
Unclassified Bunyavirales	0	0	0	0	0	0	0	0	0	0	0	2
Unclassified Mononegavirales	0	0	0	3	0	0	0	0	0	0	0	0
Alphaflexiviridae	3	3	0	0	4	3	3	0	0	0	0	0
Botourmiaviridae	0	2	0	0	0	0	0	0	0	0	0	0
Bromoviridae	136.2222222	8	8	36.46153846	69.58333333	118.2222222	57	231	28.66666667	3.5	335.5	90.33333333
Closteroviridae	54.625	69.69230769	81.64285714	48.62068966	88.81818182	112.8125	94.375	112.8571429	49.78571429	221.3125	128.3333333	38.86666667
Flaviviridae	2	5.333333333	0	2.75	2.222222222	4.333333333	3	3	3	6	3	0
Hypoviridae	0	281.3333333	602	0	684	0	0	0	0	0	256	1138
Iflaviridae	0	0	17	32.5	16.5	7	5	13	29.5	0	0	0
Leviviridae	82.16666667	110.9166667	120.5	107	41	82	1009.1	725.25	493.1666667	657	477.5	214.6666667
Narnaviridae	20.5	34.5	16	8.555555556	17.3	7.666666667	7.5	5	5	6.333333333	8	21
Picornaviridae	73.32653061	43.2173913	64.95652174	27.82051282	69.78125	31.9	47.9	48.66666667	49.31818182	214.4090909	60.72727273	69.43181818
Polycipiviridae	3	0	0	0	0	0	0	0	0	0	0	0
Potyviridae	0	0	0	0	4	4	0	0	0	0	0	0
Secoviridae	19.05454545	12.95121951	30.35294118	29.27272727	65.10526316	22.4375	14.92307692	61.02941176	15.6	48.88235294	20.78947368	27.79166667
Solemoviridae	0	0	0	2	0	0	0	0	0	0	0	0
Tombusviridae	2	2	0	0	0	0	0	0	0	0	0	0
Virgaviridae	0	3	0	3	0	0	3	0	0	0	0	2
Unclassified	25.66666667	37.5	54.5	23	9	117	12	77.5	0	0	15	17
