gene	A_dry_1	A_dry_2	A_dry_3	C_dry_1	C_dry_2	C_dry_3	C_wet_1	C_wet_2	C_wet_3	A_wet_1	A_wet_2	A_wet_3
Rhizaria	3202	2045	4752	9374	8836	11841	2389	6734	4870	2389	6644	11874
Alveolata	2542	1699	1116	2069	2726	2378	2686	2686	5393	1125	3217	7728
Stramenopiles	1524	1110	1479	1898	2139	2542	1955	2286	1739	913	3661	5482
Amoebozoa	1403	794	1563	1779	2852	2429	1455	1988	1011	1657	1691	3507
Viridiplantae	1312	803	567	559	941	880	548	663	331	840	791	1480
Metazoa	1228	895	915	3545	3957	2879	551	802	717	690	551	1355
Euglenozoa	141	99	153	175	149	185	8264	3361	11669	3215	6695	3215
Choanoflagellida	112	63	47	74	113	98	35	75	58	45	86	256
Filasterea	80	124	30	25	49	37	27	39	19	29	66	70
Ichthyosporea	71	52	39	70	98	114	34	54	34	51	52	64
Apusozoa	58	29	67	177	195	256	38	76	63	38	98	174
Cryptophyta	40	29	36	29	52	54	40	35	20	17	32	110
Heterolobosea	35	21	44	51	57	48	1	68	31	74	70	265
Centroheliozoa	34	18	26	37	38	25	2	30	10	33	99	158
Nucleariidae and Fonticula group	21	8	5	7	14	13	18	18	42	5	43	21
Unclassified	18	12	7	29	21	25	9	11	9	15	9	14
Haptophyceae	17	12	25	14	11	17	21	43	14	9	16	10
Rhodophyta	14	11	14	15	34	30	15	11	2	5	20	21
Katablepharidophyta	8	4	5	15	16	14	13	13	10	7	3	10
Glaucocystophyceae	7	4	3	8	9	6	11	7	1	4	7	8
Sar	6	11	6	25	30	32	0	15	14	7	15	74
Jakobida	4	5	3	12	25	17	6	7	5	5	5	46
Telonemida	2	2	4	7	4	4	2	5	5	3	2	5
Corallochytrium	1	1	0	1	0	1	2	2	1	0	7	0
Breviatea	0	1	0	0	1	1	0	0	0	0	0	0
Haptista	0	0	0	1	0	1	1	0	0	0	0	0
Metamonada	0	0	0	0	0	0	1	0	0	0	0	1
Oxymonadida	0	0	1	1	1	1	1	0	0	1	0	2
Parabasalia	0	0	0	0	0	0	0	1	0	1	1	0
Paratrimastix	0	0	1	0	1	1	0	0	0	0	0	0
Trimastix	0	0	0	0	1	0	0	0	0	0	0	0
Fungi_Blastocladiomycota	1	1	1	2	1	1	1	0	0	0	1	3
Fungi_Chytridiomycota	932	579	891	459	710	547	993	982	747	735	2107	2467
Fungi_Cryptomycota	1	1	1	1	2	4	6821	8309	4098	9833	5972	13375
Fungi_Dikarya	20774	13643	0	0	12543	9834	0	0	0	0	0	0
Fungi_incertae sedis	3194	2162	1290	862	2105	1304	859	1257	760	1367	2122	4185
Fungi_Microsporidia	0	0	0	0	0	0	0	0	0	0	0	3
Fungi_Mucoromycota	450	310	166	192	279	220	151	228	184	110	128	397
Fungi_Zoopagomycota	809	461	81	52	123	89	59	78	52	247	302	414
